Run,niche,niche_category,source_folder,my_host,my_host[number],host_category,author,exp_type_location,16S_region,doi,DNA_isolation_method,country_of_sampling,seq_platforrm,the most abundant kingdom,the most abundant phylum,the most abundant class,the most abundant order,the most abundant family,the most abundant genus,the most abundant species/strain,the most abundant ASV,Actino_enrichment
ERR8058454,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058457,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058540,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058558,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058577,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058593,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058599,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058613,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058773,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8057885,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058217,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058225,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058230,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058231,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058233,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058254,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058258,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058263,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058283,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058301,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058310,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058323,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058336,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058343,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058346,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058418,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058462,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058466,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058472,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058489,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058513,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058521,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058536,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058545,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058623,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058241,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058242,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058321,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058444,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058479,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058519,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058524,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058574,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058588,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058610,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058631,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058215,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058294,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058334,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058339,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058366,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058383,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058393,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058395,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058465,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058582,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058775,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058227,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8057794,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8057886,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058211,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058214,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058238,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058256,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058261,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058287,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058293,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058298,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058307,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058322,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058352,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058354,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058397,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058408,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058431,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058458,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058480,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
ERR8058491,leaf,leaf,apple-Papp-Phytob,apple,apple[01],tree,Papp,field,799R-1193R,https//doi.org/10.1094/PBIOMES-10-21-0061-R,Dneasy Plant,UK,Novaseq,,,,,,,,,not_assessed
